study,year,pub_year,country,iso3,group,gender,or,authors,title,journal,doi,study_stage,lat,lon,update_date,area
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.605,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.96,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,1.705,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.429,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.599,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,1.242,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Hispanic/Latino,Both,0.602,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.931,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,1.299,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.792,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Hispanic/Latino,Both,0.645,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.775,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.302,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,1.109,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Hispanic/Latino,Both,1.255,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Black/African,Both,0.499,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Hispanic/Latino,Both,0.62,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Black/African,Both,0.482,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Hispanic/Latino,Both,0.845,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Black/African,Both,0.373,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Hispanic/Latino,Both,0.493,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Kahveci (2023),2019,2023,Turkey,TUR,Syrian/Muslim,Both,0.04,Mustafa Kahveci,Housing Segregation in the Rental Housing Market: A Field Experiment for Istanbul,SİYASAL: Journal of Political Sciences,10.26650/siyasal.2023.32.1349823,Completed,,,,
Mourelatos and Oikarinen (2023),2022,2023,Finland,FIN,Russian,Male,0.542,"Evangelos Mourelatos, Elias Oikarinen",Ethnic discrimination during wartime: Evidence from a field experiment in the Finnish housing market,Journal of Behavioral and Experimental Economics,10.1016/j.socec.2023.102079,Completed,,,,
Mourelatos and Oikarinen (2023),2022,2023,Finland,FIN,British,Male,0.919,"Evangelos Mourelatos, Elias Oikarinen",Ethnic discrimination during wartime: Evidence from a field experiment in the Finnish housing market,Journal of Behavioral and Experimental Economics,10.1016/j.socec.2023.102079,Completed,,,,
Ahmed and Nsabimana (2024),2022,2024,Sweden,SWE,Arabic/Muslim,Male,0.388,"Ali Ahmed, Umba Nsabimana",Brick by brick bias: Arab Muslim experience of intersectionality in housing,Journal of Ethnic and Migration Studies,10.1080/1369183X.2024.2366319,Completed,,,,
Ahmed and Nsabimana (2024),2022,2024,Sweden,SWE,Arabic/Muslim,Male,0.204,"Ali Ahmed, Umba Nsabimana",Brick by brick bias: Arab Muslim experience of intersectionality in housing,Journal of Ethnic and Migration Studies,10.1080/1369183X.2024.2366319,Completed,,,,
Ahmed and Nsabimana (2024),2022,2024,Sweden,SWE,Arabic/Muslim,Male,0.558,"Ali Ahmed, Umba Nsabimana",Brick by brick bias: Arab Muslim experience of intersectionality in housing,Journal of Ethnic and Migration Studies,10.1080/1369183X.2024.2366319,Completed,,,,
Ahmed and Nsabimana (2024),2022,2024,Sweden,SWE,Arabic/Muslim,Male,0.201,"Ali Ahmed, Umba Nsabimana",Brick by brick bias: Arab Muslim experience of intersectionality in housing,Journal of Ethnic and Migration Studies,10.1080/1369183X.2024.2366319,Completed,,,,
"San Millán, J., et al. (2025)",2021,2025,Spain,ESP,Asian,Male,0.486,"Javier San Millán, Javier Polavieja, Toni Gamundí",Rental housing discrimination against Chinese minorities in Spain: a new instant messaging correspondence test,Social Forces,10.1093/sf/soaf140,Completed,,,,
"San Millán, J., et al. (2025)",2021,2025,Spain,ESP,Asian,Male,0.703,"Javier San Millán, Javier Polavieja, Toni Gamundí",Rental housing discrimination against Chinese minorities in Spain: a new instant messaging correspondence test,Social Forces,10.1093/sf/soaf140,Completed,,,,
"San Millán, J., et al. (2025)",2021,2025,Spain,ESP,Asian,Male,0.488,"Javier San Millán, Javier Polavieja, Toni Gamundí",Rental housing discrimination against Chinese minorities in Spain: a new instant messaging correspondence test,Social Forces,10.1093/sf/soaf140,Completed,,,,
"San Millán, J., et al. (2025)",2021,2025,Spain,ESP,Asian,Male,0.874,"Javier San Millán, Javier Polavieja, Toni Gamundí",Rental housing discrimination against Chinese minorities in Spain: a new instant messaging correspondence test,Social Forces,10.1093/sf/soaf140,Completed,,,,
"Zschirnt, E., et al. (2025)",2018,2025,Sweden,SWE,European,Both,1.043,"Eva Zschirnt, Julie Lacroix, Didier Ruedin",'Tell me more…': the kind of information added influences ethnic discrimination in the Swiss rental housing market,European Societies,10.1162/euso_a_00034,Completed,,,,
"Zschirnt, E., et al. (2025)",2018,2025,Sweden,SWE,European,Both,1.043,"Eva Zschirnt, Julie Lacroix, Didier Ruedin",'Tell me more…': the kind of information added influences ethnic discrimination in the Swiss rental housing market,European Societies,10.1162/euso_a_00034,Completed,,,,
"Zschirnt, E., et al. (2025)",2018,2025,Sweden,SWE,European,Both,1.043,"Eva Zschirnt, Julie Lacroix, Didier Ruedin",'Tell me more…': the kind of information added influences ethnic discrimination in the Swiss rental housing market,European Societies,10.1162/euso_a_00034,Completed,,,,
"Zschirnt, E., et al. (2025)",2018,2025,Sweden,SWE,European,Both,1.113,"Eva Zschirnt, Julie Lacroix, Didier Ruedin",'Tell me more…': the kind of information added influences ethnic discrimination in the Swiss rental housing market,European Societies,10.1162/euso_a_00034,Completed,,,,
"Zschirnt, E., et al. (2025)",2018,2025,Sweden,SWE,European,Both,1.113,"Eva Zschirnt, Julie Lacroix, Didier Ruedin",'Tell me more…': the kind of information added influences ethnic discrimination in the Swiss rental housing market,European Societies,10.1162/euso_a_00034,Completed,,,,
"Zschirnt, E., et al. (2025)",2018,2025,Sweden,SWE,European,Both,1.113,"Eva Zschirnt, Julie Lacroix, Didier Ruedin",'Tell me more…': the kind of information added influences ethnic discrimination in the Swiss rental housing market,European Societies,10.1162/euso_a_00034,Completed,,,,
"Zschirnt, E., et al. (2025)",2018,2025,Sweden,SWE,Turkish/Muslim,Both,0.843,"Eva Zschirnt, Julie Lacroix, Didier Ruedin",'Tell me more…': the kind of information added influences ethnic discrimination in the Swiss rental housing market,European Societies,10.1162/euso_a_00034,Completed,,,,
"Zschirnt, E., et al. (2025)",2018,2025,Sweden,SWE,Turkish/Muslim,Both,0.843,"Eva Zschirnt, Julie Lacroix, Didier Ruedin",'Tell me more…': the kind of information added influences ethnic discrimination in the Swiss rental housing market,European Societies,10.1162/euso_a_00034,Completed,,,,
"Gorzig, M. and D. Rho (2026)",2021,2026,USA,USA,Somali,Male,0.848,"Marina Mileo Gorzig, Deborah Rho",The impact of renter protection policies on rental housing discrimination,Contemporary Economic Policy,,Completed,,,,
"Gorzig, M. and D. Rho (2026)",2021,2026,USA,USA,Black/African,Male,1.223,"Marina Mileo Gorzig, Deborah Rho",The impact of renter protection policies on rental housing discrimination,Contemporary Economic Policy,,Completed,,,,
"Gorzig, M. and D. Rho (2026)",2021,2026,USA,USA,Somali,Male,0.884,"Marina Mileo Gorzig, Deborah Rho",The impact of renter protection policies on rental housing discrimination,Contemporary Economic Policy,,Completed,,,,
"Gorzig, M. and D. Rho (2026)",2021,2026,USA,USA,Black/African,Male,1.0,"Marina Mileo Gorzig, Deborah Rho",The impact of renter protection policies on rental housing discrimination,Contemporary Economic Policy,,Completed,,,,
"Gorzig, M. and D. Rho (2026)",2021,2026,USA,USA,Somali,Male,0.429,"Marina Mileo Gorzig, Deborah Rho",The impact of renter protection policies on rental housing discrimination,Contemporary Economic Policy,,Completed,,,,
"Gorzig, M. and D. Rho (2026)",2021,2026,USA,USA,Black/African,Male,0.587,"Marina Mileo Gorzig, Deborah Rho",The impact of renter protection policies on rental housing discrimination,Contemporary Economic Policy,,Completed,,,,
"Gorzig, M. and D. Rho (2026)",2021,2026,USA,USA,Somali,Male,2.085,"Marina Mileo Gorzig, Deborah Rho",The impact of renter protection policies on rental housing discrimination,Contemporary Economic Policy,,Completed,,,,
"Gorzig, M. and D. Rho (2026)",2021,2026,USA,USA,Black/African,Male,1.762,"Marina Mileo Gorzig, Deborah Rho",The impact of renter protection policies on rental housing discrimination,Contemporary Economic Policy,,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Eastern European,Male,0.739,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Turkish/Muslim,Male,0.484,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Syrian/Muslim,Male,0.293,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Eastern European,Male,0.474,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Turkish/Muslim,Male,0.312,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Syrian/Muslim,Male,0.2,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Eastern European,Male,0.53,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Turkish/Muslim,Male,0.356,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Syrian/Muslim,Male,0.383,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Eastern European,Male,0.739,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Turkish/Muslim,Male,0.49,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Weichselbaumer, D. and H. Riess (2024)",2020,2024,Austria,AUT,Syrian/Muslim,Male,0.545,"Doris Weichselbaumer, Hermann Riess",Discrimination in the Austrian rental housing market: The effect of information concerning first and second-generation immigrant status,Journal of Housing Economics,10.1016/j.jhe.2024.102030,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Male,0.641,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Black/African,Male,0.887,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Male,0.852,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Female,0.613,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Black/African,Female,0.538,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Female,1.083,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Male,0.647,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Black/African,Male,0.43,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Male,0.959,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Female,0.609,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Black/African,Female,0.464,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Female,0.886,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Male,0.593,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Black/African,Male,0.696,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Male,0.817,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Female,0.741,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Black/African,Female,0.63,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
"Huang, A. and H. Bao (2026)",2022,2026,UK,GBR,Asian,Female,0.711,"Andrew H. Huang, Helen X. H. Bao","Good jobs, good tenants? Understanding racial and gender discrimination in the housing market",Housing Studies,10.1080/02673037.2025.2498377,Completed,,,,
Malaysia,,,,,,,,"Wong Woei Chyuan, Khairul Zharif Zaharudin, Wei Haitian, Helen X. H. Bao",The ethnic architecture of housing-market matching: buyer–seller dyads and pricing in Malaysia's multi-ethnic sales market,,,On-going,5.0,100.4,2026-07-10,Malaysia
Singapore,,,,,,,,"Helen X. H. Bao, Nicholas Ying-Shuen Tan","Foreignness, Ethnicity, and Housing Discrimination: Evidence from Singapore",,,On-going,1.35,103.82,2026-05-16,Singapore
Kuala Lumpur,,,,,,,,"Hafizah Ismail, Helen X. H. Bao",Socio-Economic Discrimination in Malaysia's Rental Market: A Correspondence Experiment with Behavioural Intervention in WP Kuala Lumpur,,,On-going,3.14,101.69,2026-06-02,Kuala Lumpur
Tokyo,,,,,,,,"Jessica Alder, Sofie R. Waltl, Kate Konatsu Nishigai, Helen X. H. Bao",What's in a Name? Perceived Ethnic Discrimination in Tokyo's Rental Housing Market,,,On-going,35.68,139.69,2026-07-18,Tokyo
